"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1nf","","","","Capacitor_SMD:C_1206_3216Metric","https://jlcpcb.com/partdetail/2197-1206B102K500NT/C1845"
"C2,C4,C5","3","10uF","","","","Capacitor_SMD:C_1206_3216Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586178189760868352"
"C10,C11","2","100uF","","","","Capacitor_SMD:C_1206_3216Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590165109097336832"
"C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26","14","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586178200518582272"
"J1,J2","2","SAMMY-3PIN","","","","BSPD:SAMMY-3PIN","https://www.molex.com/en-us/products/part-detail-pdf/1053131203?display=pdf"
"J3,J5","2","SAMMY-2PIN","","","","BSPD:SAMMY-2PIN","https://www.molex.com/en-us/products/part-detail-pdf/1053131202?display=pdf"
"J4","1","SAMMY-5PIN","","","","BSPD:SAMMY-5PIN","https://www.molex.com/en-us/products/part-detail-pdf/1053131205?display=pdf"
"Q1","1","NMOS","","","","Package_TO_SOT_SMD:SOT-23","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586188692172255232"
"R1","1","470k","","","","Resistor_SMD:R_1210_3225Metric","https://jlcpcb.com/partdetail/CHANGLONG-CL1210FN470KP/C48392111"
"R2","1","19.1k","","","","Resistor_SMD:R_1210_3225Metric","https://jlcpcb.com/partdetail/839317-1210W2F1912T5E/C784281"
"R3","1","54.9k","","","","Resistor_SMD:R_1206_3216Metric","https://jlcpcb.com/partdetail/303974-RS06K5492FT/C323092"
"R4","1","39k","","","","Resistor_SMD:R_1210_3225Metric","https://jlcpcb.com/partdetail/YAGEO-RC1210FR0739KL/C728378"
"R11,R12,R13,R14,R15,R16,R17,R21,R24","9","100k","","","","Resistor_SMD:R_1210_3225Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588884011426975744"
"R18","1","2.2k","","","","Resistor_SMD:R_1210_3225Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588910180973494272"
"R20,R23","2","1k","","","","Resistor_SMD:R_1210_3225Metric","https://jlcpcb.com/partdetail/YAGEO-AC1210FR071KL/C230096"
"R22","1","10k","","","","Resistor_SMD:R_1210_3225Metric","https://jlcpcb.com/partdetail/YAGEO-RC1210FR0710KL/C309586"
"RV6,RV7","2","10k","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","https://jlcpcb.com/partdetail/120223-3296W_1103/C118954"
"TP8","1","TP_ACCUM","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP9","1","TP_BSE","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP10","1","TP_GND","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"U1","1","~","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/tps25921l.pdf?ts=1759758992661&ref_url=https%253A%252F%252Fwww.google.com%252F"
"U3","1","LM1117DT-5.0","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U4,U5,U6,U9,U10,U12","6","LM397","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lm397.pdf"
"U7,U11","2","SN74AHC1G08DBVR","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/sn74ahc1g08.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1759156244542&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74ahc1g08"
"U8","1","SN74AHC1G00DBVR","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/sn74ahc1g00.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1759114924595&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74ahc1g00"
"U17,U18","2","SN74AHC1G32DBVR","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/sn74ahc1g32.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1759100923895&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74ahc1g32"
