Designator,Mid X,Mid Y,Rotation,Layer
C101,73.95,-131.875,270.0,top
C102,86.95,-131.875,270.0,top
C105,107.43,-67.875,0.0,top
C106,111.47,-67.875,180.0,top
C117,119.95,-75.875,0.0,top
C3,104.95,-76.875,180.0,top
D1,68.95,-96.125,0.0,top
D101,107.95,-106.875,180.0,top
D102,122.95,-106.875,180.0,top
D2,68.95,-93.125,0.0,top
D3,68.95,-90.125,0.0,top
D4,62.95,-127.875,270.0,top
J1,70.84,-62.0,180.0,top
J2,70.79,-75.375,180.0,top
K101,108.0125,-123.5875,0.0,top
K102,122.5125,-123.5875,0.0,top
Q1,107.95,-102.995,0.0,top
Q103,70.8875,-127.925,180.0,top
Q104,75.0,-128.9375,270.0,top
Q105,83.95,-127.875,180.0,top
Q106,87.95,-128.875,270.0,top
Q2,122.95,-102.875,0.0,top
Q3,79.95,-141.875,0.0,top
Q4,68.24,-141.875,0.0,top
R1,124.95,-81.875,270.0,top
R10,73.95,-140.875,270.0,top
R103,72.95,-123.875,270.0,top
R104,85.95,-123.875,270.0,top
R105,69.95,-123.875,90.0,top
R106,82.95,-123.875,90.0,top
R108,70.95,-130.875,0.0,top
R109,83.95,-130.875,0.0,top
R11,66.95,-137.875,270.0,top
R110,70.95,-132.875,0.0,top
R111,70.95,-134.875,0.0,top
R112,83.95,-132.875,0.0,top
R113,83.95,-134.875,0.0,top
R12,76.95,-137.875,270.0,top
R2,124.95,-92.875,270.0,top
R3,86.95,-95.875,180.0,top
R4,86.95,-92.875,180.0,top
R5,138.95,-92.875,90.0,top
R6,138.95,-81.875,270.0,top
R7,137.95,-75.875,270.0,top
R8,85.95,-140.875,270.0,top
R9,86.95,-89.875,180.0,top
SW101,71.95,-117.875,0.0,top
SW102,71.95,-108.625,0.0,top
U1,131.945,-81.88,180.0,top
U107,109.49,-71.875,0.0,top
U2,131.945,-92.88,180.0,top
U5,115.14,-87.525,0.0,top
U6,101.76,-87.795,0.0,top
