Designator,Mid X,Mid Y,Rotation,Layer
C101,67.9295,-9.101,270.0,top
C102,39.544,-25.902,270.0,top
C103,39.544,-32.3845,270.0,top
C104,58.152,-31.617,90.0,top
C105,67.84425,-53.61975,90.0,top
C106,67.781,-32.4425,90.0,top
C107,54.061,-48.97,180.0,top
C108,54.041,-46.47,180.0,top
C109,54.561,-52.47,180.0,top
C110,51.4875,-49.9685,90.0,top
C111,57.185,-55.773,0.0,top
C112,51.228,-55.2635,270.0,top
C113,14.083,-53.969,0.0,top
C114,20.941,-55.112,270.0,top
C115,17.004,-58.668,0.0,top
C116,57.77,-59.939,180.0,top
C117,54.088,-23.997,90.0,top
D101,24.361,-30.7915,0.0,top
D102,24.878,-16.5675,0.0,top
D103,23.481,-45.651,270.0,top
D104,23.4365,-12.817,0.0,top
D105,22.068,-41.333,0.0,top
D106,23.6905,-26.914,0.0,top
D107,30.71,-43.988,270.0,top
D108,40.96,-43.888,270.0,top
J1,35.1396,-64.555302,0.0,top
J3,18.835,-65.623,270.0,top
J4,8.615,-63.548,180.0,top
K101,12.9865,-9.134,180.0,top
K102,13.2405,-37.709,180.0,top
K103,13.2405,-23.4215,180.0,top
Q101,66.7395,-2.431,0.0,top
Q102,66.7395,-15.4995,180.0,top
Q103,66.65275,-60.66575,0.0,top
Q104,66.89425,-46.84025,270.0,top
Q105,30.7395,-50.1546,90.0,top
Q106,30.7395,-54.2896,90.0,top
Q107,20.677,-16.9485,180.0,top
Q108,20.842,-31.4265,180.0,top
Q109,20.677,-44.4365,0.0,top
Q110,66.591,-38.7925,0.0,top
Q111,66.857,-25.872,270.0,top
Q112,35.6975,-54.3681,90.0,top
Q113,46.07,-69.498,0.0,top
Q114,40.9655,-50.2391,90.0,top
Q115,40.9655,-54.3741,90.0,top
Q116,35.8855,-45.516,90.0,top
R101,71.285,-17.673,270.0,top
R102,35.31,0.452,90.0,top
R103,42.26,0.452,270.0,top
R104,49.01,0.452,90.0,top
R105,70.753,-2.9785,270.0,top
R106,35.287,-13.964,90.0,top
R107,49.008,-13.964,90.0,top
R108,66.8095,-5.863,180.0,top
R109,42.241,-13.964,90.0,top
R110,66.8095,-12.213,180.0,top
R111,66.8095,-18.499,180.0,top
R112,28.0115,-57.2891,0.0,top
R113,71.41,-45.523,90.0,top
R114,70.81925,-60.73125,90.0,top
R115,66.70125,-57.30275,180.0,top
R116,28.853,-30.7915,0.0,top
R117,29.323,-16.5675,0.0,top
R118,20.306,-47.1115,180.0,top
R119,66.70125,-50.31775,180.0,top
R120,66.82825,-43.45975,180.0,top
R121,33.7265,-50.1771,90.0,top
R122,70.779,-23.661,90.0,top
R123,70.779,-38.9195,90.0,top
R124,66.661,-35.6175,180.0,top
R125,6.209,-14.218,270.0,top
R126,6.336,-29.712,270.0,top
R127,66.661,-29.2675,180.0,top
R129,66.707,-22.3645,180.0,top
R130,33.2185,-57.2891,180.0,top
R131,59.041,-45.079,0.0,top
R132,60.216,-56.47,0.0,top
R133,45.767,-55.232,90.0,top
R134,50.12,-68.498,180.0,top
R135,24.91,-63.473,90.0,top
R136,38.0445,-50.1631,90.0,top
R137,35.8855,-41.396,270.0,top
R138,35.8855,-50.1631,90.0,top
SW101,73.138,-10.3445,90.0,top
SW102,73.26925,-53.11125,90.0,top
SW103,73.229,-31.426,90.0,top
U104,42.465,-26.029,270.0,top
U105,42.465,-32.506,270.0,top
U106,55.231,-31.617,90.0,top
U117,48.7595,-50.4765,180.0,top
U118,59.041,-49.97,180.0,top
U119,48.754,-54.662,90.0,top
U2,56.755,-67.974,270.0,top
