Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23",0805,13,100n,
"C10, C3, C8, C9",0805,4,1u,
"C13, C14",0805,2,10n,
"C4, C5, C6, C7",C_Elec_6.3x5.4,4,220u,
"D1, D12, D7, D8, D9",D_SMA,5,D,
"D10, D11",SOT-23,2,BZX84C12,
"D2, D3, D4, D5",0805,4,LED,
D6,SOT-23,1,BZX84C3V3,
J1,Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,1,MicroFit,
J2,MICROFIT-4PIN,1,Mini-Fit_Jr_5566-04A,
J3,MICROFIT-4PIN,1,447690401,
"JP1, JP2, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_2_Open,
K1,OMRON-G2R-24,1,OMRON-G2RL-24,C1524522
K2,G7L-2A-X-L,1,G7L-2A-X-L,
"Q1, Q3",SOT-23,2,2N7002,
Q2,SOT-23,1,MMBT3906,
R1,1206,1,160,
"R10, R23, R24, R7",1206,4,6k8,
"R11, R12",1206,2,1k5,
"R13, R17, R26",1206,3,12k,
"R14, R16",1206,2,47,
"R15, R18",1206,2,560,
"R19, R47",1206,2,220,
"R2, R3, R4, R5",1206,4,200,
"R20, R22, R25, R28",1206,4,100k,
"R21, R27, R29, R44, R45, R48, R8",1206,7,10k,
R30,1206,1,500k,
"R31, R32, R33, R34, R36, R37, R38, R40, R41, R42",1206,10,510k,
R35,1206,1,2k2,
"R39, R43",1206,2,39k,
R46,Chassis_Resistor_TE_Connectivity_HSA25,1,HSA253K3J,
R49,1206,1,0,
"R6, R9",1206,2,20k,
TH1,1206,1,TFPT1206L1002FM,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Loop_D2.50mm_Drill1.0mm_LowProfile,6,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
"U11, U5, U6",SMDIP-6_W7.62mm,3,4N35,
U2,DC-DCSPAN02W8-12,1,SPAN02A-12,
U3,Teensy40,1,Teensy4.0,
U4,SOT-223-3_TabPin2,1,LM1117-5.0,
"U7, U8",DIP-8_W7.62mm,2,LM331,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,LM2904,
