Designator,Mid X,Mid Y,Rotation,Layer
C1,159.5,-117.5,270.0,top
C10,121.5,-133.0,0.0,top
C11,116.0,-146.5,0.0,top
C12,116.0,-133.0,0.0,top
C13,108.5,-136.5,90.0,top
C14,109.5,-122.5,90.0,top
C15,105.5,-136.5,90.0,top
C16,106.5,-122.5,90.0,top
C17,101.0,-117.0,90.0,top
C18,95.5,-134.5,0.0,bottom
C19,101.0,-113.0,90.0,top
C2,167.5,-96.0,180.0,top
C20,91.0,-128.0,90.0,top
C21,91.0,-141.0,270.0,top
C22,118.5,-116.5,270.0,bottom
C23,188.0,-104.5,0.0,top
C3,136.5,-110.25,180.0,bottom
C4,180.0,-71.0,0.0,top
C5,180.0,-79.0,0.0,top
C8,165.0,-92.0,270.0,top
C9,121.5,-146.5,0.0,top
D1,160.5,-112.0,0.0,top
D10,87.75,-128.0,90.0,top
D11,87.75,-140.75,270.0,top
D12,166.0,-69.5,270.0,top
D2,186.0,-137.0,180.0,top
D3,186.0,-133.5,180.0,top
D4,186.0,-130.0,180.0,top
D5,186.0,-126.5,180.0,top
D6,159.5,-121.5,0.0,top
D7,197.0,-81.5,270.0,top
D8,175.5,-89.5,90.0,top
D9,172.0,-69.5,270.0,top
J1,195.15,-94.5,270.0,top
J2,89.446,-58.0,90.0,top
J3,73.946,-132.45,90.0,top
K1,177.5,-59.25,0.0,top
K2,142.15,-81.1,90.0,top
Q1,172.0,-75.5,270.0,top
Q2,168.0,-102.5,90.0,top
Q3,166.0,-75.5,270.0,top
R1,194.0,-108.5,270.0,top
R10,161.5,-136.0,180.0,top
R11,150.5,-142.5,0.0,top
R12,150.5,-133.5,0.0,top
R13,119.0,-139.0,270.0,bottom
R14,111.5,-136.5,270.0,top
R15,134.0,-138.5,0.0,top
R16,112.0,-123.0,270.0,top
R17,119.0,-125.5,270.0,bottom
R18,134.0,-131.0,180.0,top
R19,170.5,-80.4,270.0,top
R2,188.5,-137.0,180.0,bottom
R20,125.0,-145.0,270.0,top
R21,173.5,-80.4,90.0,top
R22,125.0,-131.5,270.0,top
R23,108.5,-141.5,270.0,top
R24,109.5,-128.0,270.0,top
R25,97.0,-141.0,270.0,top
R26,105.0,-113.0,180.0,top
R27,104.75,-117.0,270.0,top
R28,97.0,-128.0,90.0,top
R29,108.25,-117.0,270.0,top
R3,188.5,-133.5,180.0,bottom
R31,120.0,-94.0,225.0,top
R32,115.0,-96.0,180.0,top
R33,75.5,-95.8621,270.0,top
R34,75.5,-100.812,270.0,top
R35,135.0,-122.5,90.0,top
R36,110.0,-96.0,180.0,top
R37,104.886,-96.031,180.0,top
R38,100.0,-98.0,225.0,top
R39,93.5,-128.0,90.0,top
R4,188.5,-130.0,180.0,bottom
R40,77.5,-105.75,315.0,top
R41,82.426,-107.709,0.0,top
R42,87.39,-107.709,0.0,top
R43,93.5,-141.0,270.0,top
R44,164.5,-102.0,90.0,top
R45,171.5,-102.0,90.0,top
R46,97.0,-79.0,0.0,top
R47,164.5,-80.4,90.0,top
R48,167.5,-80.4,90.0,top
R49,81.0,-132.0,180.0,bottom
R5,188.5,-126.5,180.0,bottom
R6,156.0,-116.5,0.0,top
R7,156.0,-119.0,180.0,top
R8,197.5,-104.5,180.0,top
R9,161.5,-133.5,0.0,top
TH1,88.0,-94.5,0.0,top
TP1,150.5,-138.0,0.0,top
TP2,150.5,-129.0,0.0,top
TP3,131.0,-135.5,270.0,top
TP4,131.0,-127.5,270.0,top
TP5,82.5,-128.0,270.0,top
TP6,82.5,-140.75,270.0,top
U1,188.0,-108.5,270.0,top
U10,118.5,-116.5,270.0,top
U11,142.0,-124.5,0.0,top
U2,141.82,-112.5,180.0,top
U3,174.0,-126.5,90.0,top
U4,169.874,-89.582,270.0,top
U5,142.0,-142.5,0.0,top
U6,142.0,-133.5,0.0,top
U7,118.69,-139.69,180.0,top
U8,118.69,-126.19,180.0,top
U9,95.5,-134.5,180.0,top
