Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C6, C7",0603,5,10u,
"C10, C2, C8, C9",0603,4,1u,
"C11, C12, C5",0603,3,100n,
D1,D_SOD-123,1,12V,
J1,SAMMY-2PIN,1,Tractive,
J3,SAMMY-6PIN,1,SAMMY-6PIN,
PS1,Converter_DCDC_XP_POWER-IAxxxxD_THT,1,IA1212D,
"Q1, Q2",SOT-23,2,NMOS,
"R1, R2, R3, R4",1206,4,249k,C34578
R10,1206,1,24k,
R11,1206,1,900,
R12,1206,1,1k,
R13,1206,1,1M,
R14,1206,1,47k,
"R15, R17",1206,2,100k,
R16,1206,1,10k,
R5,1206,1,49k9,
R6,1206,1,2k2,
"R7, R8",1206,2,100,
R9,1206,1,75k,
U1,SOT-23-5,1,LM397,
U2,DIP-4_W7.62mm,1,SFH617A-1,
U3,TO-252-3_TabPin2,1,LM1117DT-5.0,
U4,SOT-23-5,1,74AHC1G02,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,LM555xM,
