Designator,Mid X,Mid Y,Rotation,Layer
C1,171.025,-80.0,0.0,top
C10,174.6,-90.4,270.0,top
C11,176.2,-90.4,270.0,top
C12,170.025,-87.4,0.0,top
C2,171.0,-81.6,0.0,top
C3,151.8,-82.0,0.0,top
C4,146.8,-92.975,90.0,top
C5,150.225,-90.4,0.0,top
C6,166.025,-76.535,90.0,top
C7,166.025,-73.31,90.0,top
C8,167.8,-79.4,0.0,top
C9,176.2,-86.8,90.0,top
D1,137.8,-95.95,270.0,top
J1,131.315448,-76.35,270.0,top
J2,186.407302,-77.3334,90.0,top
PS1,154.4,-75.6,270.0,top
Q1,191.6625,-85.2,180.0,top
Q2,191.6625,-88.8,180.0,top
R1,139.8,-74.8625,270.0,top
R10,143.10625,-84.6,180.0,top
R11,138.075,-84.6,180.0,top
R12,152.0,-85.8,270.0,top
R13,146.3375,-97.2,0.0,top
R14,184.4625,-84.4,180.0,top
R15,179.6625,-84.4,180.0,top
R16,166.2,-87.5375,270.0,top
R17,169.6,-94.6,0.0,top
R2,139.8,-79.8625,270.0,top
R3,135.5375,-81.8,180.0,top
R4,131.4,-82.96,270.0,top
R5,132.5375,-87.0,0.0,top
R6,136.6,-89.8625,270.0,top
R7,142.1375,-94.2,0.0,top
R8,142.1375,-91.8,0.0,top
R9,148.1375,-84.6,180.0,top
U1,149.8625,-92.85,180.0,top
U2,158.205,-90.395,0.0,top
U3,173.265,-74.8,0.0,top
U4,169.6625,-90.05,180.0,top
U5,180.8,-88.6,270.0,top
