Designator,Mid X,Mid Y,Rotation,Layer
D1,116.15,-61.1,90.0,top
D2,123.566667,-61.25,90.0,top
D3,130.983333,-61.25,90.0,top
D4,138.4,-61.25,90.0,top
D5,145.816667,-61.25,90.0,top
D6,153.233333,-61.25,90.0,top
D7,160.65,-61.15,90.0,top
J1,106.8,-68.884599,180.0,top
J3,133.1,-88.625,180.0,top
Q1,116.1975,-70.54,270.0,top
Q2,123.614167,-70.69,270.0,top
Q3,131.030833,-70.69,270.0,top
Q4,138.4475,-70.69,270.0,top
Q5,145.864167,-70.69,270.0,top
Q6,153.280833,-70.69,270.0,top
Q7,160.6975,-70.59,270.0,top
R10,145.796667,-65.59,270.0,top
R12,153.213333,-65.59,270.0,top
R14,160.63,-65.49,270.0,top
R2,116.13,-65.44,270.0,top
R4,123.546667,-65.59,270.0,top
R6,130.963333,-65.59,270.0,top
R8,138.38,-65.59,270.0,top
